;;;;;;
;Punto d'inizio;;;Punto di fine;;
road_lcd;pnt_lcd_ini;lat_ini;lon_ini;pnt_lcd_fin;lat_fin;lon_fin
126;1110;45,42805;9,24686;1112;45,40683;9,2613
126;1112;45,40683;9,2613;1113;45,39233;9,26096
126;1113;45,39233;9,26096;1114;45,38431;9,26888
126;1114;45,38431;9,26888;1115;45,35501;9,30308
134;1282;45,11939;7,7115;1283;45,13221;7,72925
134;1283;45,13221;7,72925;13984;45,13512;7,7352
134;13984;45,13512;7,7352;1284;45,1464;7,75782
134;1284;45,1464;7,75782;14384;45,17145;7,80841
134;14384;45,17145;7,80841;1285;45,18101;7,82755
134;1285;45,18101;7,82755;1286;45,19188;7,84942
134;1286;45,19188;7,84942;1287;45,20915;7,88891
134;1287;45,20915;7,88891;1288;45,22212;7,91993
134;1288;45,22212;7,91993;1289;45,23683;7,95668
134;1289;45,23683;7,95668;1290;45,23854;7,96189
134;1290;45,23854;7,96189;14127;45,24181;7,97206
134;14127;45,24181;7,97206;13985;45,28695;8,0355
134;13985;45,28695;8,0355;1292;45,32462;8,07641
134;1307;45,50882;9,02908;1310;45,51242;9,06202
134;1310;45,51242;9,06202;14266;45,51309;9,07054
134;14266;45,51309;9,07054;14225;45,51399;9,08541
134;14225;45,51399;9,08541;14226;45,51478;9,09997
134;14226;45,51478;9,09997;1313;45,5157;9,12078
134;1313;45,5157;9,12078;14267;45,5187;9,12673
134;14267;45,5187;9,12673;1314;45,5367;9,16393
134;1314;45,5367;9,16393;1315;45,54843;9,20831
134;1315;45,54843;9,20831;1316;45,55261;9,24551
134;1316;45,55261;9,24551;1318;45,55606;9,26844
134;1318;45,55606;9,26844;1319;45,55738;9,27767
134;1319;45,55738;9,27767;1320;45,56699;9,34192
140;1397;45,13223;7,72928;14007;45,14245;7,73208
140;14007;45,14245;7,73208;14024;45,14607;7,73597
140;14024;45,14607;7,73597;1399;45,19624;7,79239
140;1399;45,19624;7,79239;1400;45,31664;7,82074
140;1400;45,31664;7,82074;1401;45,38784;7,84719
140;1401;45,38784;7,84719;13488;45,40773;7,84759
140;13488;45,40773;7,84759;1402;45,42553;7,84686
140;1402;45,42553;7,84686;1403;45,44422;7,84963
141;1416;44,97111;7,70241;1417;44,87366;7,74726
141;1417;44,87366;7,74726;1419;44,85201;7,74882
141;1419;44,85201;7,74882;1420;44,70418;7,76327
142;1439;45,4373;9,17094;1440;45,41814;9,15506
142;1440;45,41814;9,15506;1441;45,40758;9,14815
142;1441;45,40758;9,14815;1442;45,39534;9,14136
142;1442;45,39534;9,14136;1443;45,38949;9,13852
142;1443;45,38949;9,13852;1444;45,33971;9,09857
143;1468;45,51563;9,12094;44483;45,52029;9,11184
143;44483;45,52029;9,11184;14004;45,52964;9,09466
143;14004;45,52964;9,09466;1470;45,54977;9,05713
143;1470;45,54977;9,05713;1471;45,55222;9,05273
143;1471;45,55222;9,05273;1472;45,55913;9,03979
163;1806;44,95974;7,78709;1807;44,95379;7,91617
163;1807;44,95379;7,91617;1808;44,95282;7,92545
163;1808;44,95282;7,92545;13987;44,94994;7,95117
163;13987;44,94994;7,95117;1809;44,90808;8,17486
174;2030;45,08165;7,50388;2032;45,09151;7,41812
174;2032;45,09151;7,41812;2033;45,09381;7,39863
174;2033;45,09381;7,39863;2034;45,09488;7,39167
174;2034;45,09488;7,39167;2035;45,12324;7,22378
177;2090;45,13395;7,71459;2091;45,13625;7,72597
177;2091;45,13625;7,72597;2092;45,13226;7,72916
177;2092;45,13226;7,72916;2093;45,12919;7,73022
178;2094;45,00844;7,67156;2095;44,9841;7,69892
178;2095;44,9841;7,69892;2096;44,97758;7,7007
178;2096;44,97758;7,7007;2098;44,9711;7,70241
180;2103;45,50669;9,06432;2104;45,51232;9,06101
182;2113;45,51234;9,06101;2112;45,51866;9,05929
189;2138;45,02857;7,60634;14176;45,02395;7,60242
189;14176;45,02395;7,60242;2139;45,02228;7,59801
189;2139;45,02228;7,59801;2140;45,01355;7,58608
189;2140;45,01355;7,58608;14177;45,01207;7,58135
189;14177;45,01207;7,58135;14213;45,00989;7,57727
189;14213;45,00989;7,57727;2141;45,00421;7,56522
189;2141;45,00421;7,56522;2142;44,98057;7,55224
189;2142;44,98057;7,55224;2143;44,97435;7,52223
189;2143;44,97435;7,52223;2144;44,95666;7,50034
189;2144;44,95666;7,50034;2145;44,94132;7,5048
189;2145;44,94132;7,5048;14178;44,91532;7,44716
189;14178;44,91532;7,44716;14179;44,89514;7,40022
189;14179;44,89514;7,40022;14180;44,89242;7,39551
204;2234;45,42506;7,85105;2235;45,41986;7,94784
204;2235;45,41986;7,94784;2236;45,40782;8,01317
204;2236;45,40782;8,01317;2237;45,37255;8,12822
223;2374;45,10505;7,69217;2375;45,1266;7,69566
223;2375;45,1266;7,69566;14017;45,14;7,69174
223;14017;45,14;7,69174;2376;45,17;7,67933
223;2376;45,17;7,67933;2377;45,17772;7,65712
223;2377;45,17772;7,65712;2378;45,18749;7,6426
224;2379;45,40705;9,26142;2380;45,41144;9,26212
224;2380;45,41144;9,26212;14019;45,41462;9,25954
224;14019;45,41462;9,25954;2382;45,42477;9,24826
